"Date","Price","Return"
2015-01-05,16822,0
2015-01-06,17929,0.06373196
2015-01-07,17718,-0.011838442
2015-01-08,18245,0.029309998
2015-01-09,19458,0.064367227
2015-01-12,19616,0.008087263
2015-01-13,19511,-0.005367151
2015-01-14,19722,0.010756355
2015-01-15,19405,-0.016203999
2015-01-16,19142,-0.013645891
2015-01-19,18667,-0.025127615
2015-01-20,18984,0.01683926
2015-01-21,18667,-0.01683926
2015-01-22,19089,0.022354994
2015-01-23,19564,0.02457889
2015-01-26,19300,-0.013586047
2015-01-27,19142,-0.008220222
2015-01-28,19722,0.02984989
2015-01-29,19458,-0.013476467
2015-01-30,18825,-0.033072523
2015-02-02,18825,0
2015-02-03,17560,-0.069562185
2015-02-04,17454,-0.006054739
2015-02-05,18404,0.052999184
2015-02-06,18984,0.031028487
2015-02-09,19089,0.005515734
2015-02-10,19195,0.005537576
2015-02-11,19564,0.019041314
2015-02-12,19142,-0.021806269
2015-02-13,19247,0.005470331
2015-02-24,20566,0.066284022
2015-02-25,20091,-0.023367273
2015-02-26,20776,0.033526521
2015-02-27,20249,-0.025693065
2015-03-02,20249,0
2015-03-03,20302,0.002613994
2015-03-04,20460,0.007752357
2015-03-05,19985,-0.023489768
2015-03-06,19669,-0.0159382
2015-03-09,19195,-0.024393964
2015-03-10,19405,0.010880936
2015-03-11,19247,-0.00817556
2015-03-12,19405,0.00817556
2015-03-13,19353,-0.002683319
2015-03-16,18614,-0.03893346
2015-03-17,18825,0.011271788
2015-03-18,18878,0.002811449
2015-03-19,18720,-0.008404752
2015-03-20,18984,0.014004048
2015-03-23,18562,-0.022480039
2015-03-24,18614,0.002797506
2015-03-25,18667,0.002843273
2015-03-26,18456,-0.011367738
2015-03-27,18614,0.008524465
2015-03-30,18509,-0.005656885
2015-03-31,18509,0
2015-04-01,18456,-0.002867579
2015-04-02,18825,0.019796253
2015-04-03,18825,0
2015-04-06,18720,-0.005593303
2015-04-07,18878,0.008404752
2015-04-08,18720,-0.008404752
2015-04-09,18878,0.008404752
2015-04-10,18984,0.005599296
2015-04-13,19195,0.011053309
2015-04-14,19195,0
2015-04-15,19300,0.005455267
2015-04-16,19669,0.018938696
2015-04-17,19722,0.002690972
2015-04-20,19669,-0.002690972
2015-04-21,19353,-0.016196346
2015-04-22,19511,0.008130963
2015-04-23,19511,0
2015-04-24,19616,0.005367151
2015-04-27,19089,-0.027233307
2015-05-04,18773,-0.016692586
2015-05-05,19616,0.043925892
2015-05-06,19564,-0.002654417
2015-05-07,19827,0.013353502
2015-05-08,20407,0.028833334
2015-05-11,20513,0.005180852
2015-05-12,20355,-0.00773225
2015-05-13,20091,-0.013054628
2015-05-14,20196,0.005212611
2015-05-15,20249,0.002620845
2015-05-18,20355,0.005221172
2015-05-19,20618,0.012837899
2015-05-20,20882,0.012723063
2015-05-21,21093,0.010053688
2015-05-22,22253,0.053535599
2015-05-25,22148,-0.004729632
2015-05-26,22675,0.023515797
2015-05-27,22622,-0.002340112
2015-05-28,22728,0.00467476
2015-05-29,22833,0.004609213
2015-06-01,24099,0.053963488
2015-06-02,24204,0.004347563
2015-06-03,23466,-0.030965344
2015-06-04,23466,0
2015-06-05,23782,0.013376427
2015-06-08,23888,0.004447249
2015-06-09,23308,-0.024579592
2015-06-10,22833,-0.020589791
2015-06-11,23044,0.009198574
2015-06-12,22991,-0.002302597
2015-06-15,23888,0.038273406
2015-06-16,23466,-0.017823676
2015-06-17,23413,-0.002261141
2015-06-18,23677,0.011212689
2015-06-19,24520,0.034984998
2015-06-22,25101,0.023418575
2015-06-23,25101,0
2015-06-24,24731,-0.014850169
2015-06-25,24731,0
2015-06-26,24085,-0.026468277
2015-06-29,25324,0.050163323
2015-06-30,26294,0.037588214
2015-07-01,26132,-0.006180159
2015-07-02,27749,0.060039187
2015-07-03,29365,0.056603685
2015-07-06,29365,0
2015-07-07,29096,-0.009202781
2015-07-08,28018,-0.037753547
2015-07-09,28288,0.009590526
2015-07-10,28288,0
2015-07-13,28288,0
2015-07-14,28288,0
2015-07-15,27479,-0.02901561
2015-07-16,27479,0
2015-07-17,27479,0
2015-07-20,26617,-0.031871967
2015-07-21,26509,-0.004065811
2015-07-22,28018,0.055362863
2015-07-23,27749,-0.009647357
