"Date","Price","Return"
2015-01-05,66667,0
2015-01-06,66667,0
2015-01-07,68056,0.020620818
2015-01-08,68403,0.005085788
2015-01-09,71528,0.044672298
2015-01-12,69444,-0.029568309
2015-01-13,70833,0.019804321
2015-01-14,70139,-0.009846006
2015-01-15,69444,-0.009958315
2015-01-16,69444,0
2015-01-19,69097,-0.005009358
2015-01-20,69444,0.005009358
2015-01-21,69444,0
2015-01-22,69097,-0.005009358
2015-01-23,69444,0.005009358
2015-01-26,69097,-0.005009358
2015-01-27,70833,0.024813679
2015-01-28,70139,-0.009846006
2015-01-29,72917,0.038842821
2015-01-30,72222,-0.009577099
2015-02-02,71528,-0.009655727
2015-02-03,70139,-0.019609994
2015-02-04,71528,0.019609994
2015-02-05,71528,0
2015-02-06,71528,0
2015-02-09,72222,0.009655727
2015-02-10,71528,-0.009655727
2015-02-11,72917,0.019232827
2015-02-12,72917,0
2015-02-13,73611,0.009472663
2015-02-24,74305,0.009383773
2015-02-25,75694,0.018520653
2015-02-26,75000,-0.009210784
2015-02-27,75000,0
2015-03-02,74305,-0.009309869
2015-03-03,75000,0.009309869
2015-03-04,75694,0.009210784
2015-03-05,75000,-0.009210784
2015-03-06,74305,-0.009309869
2015-03-09,74305,0
2015-03-10,75000,0.009309869
2015-03-11,75000,0
2015-03-12,75694,0.009210784
2015-03-13,75000,-0.009210784
2015-03-16,75694,0.009210784
2015-03-17,75694,0
2015-03-18,75694,0
2015-03-19,75000,-0.009210784
2015-03-20,74305,-0.009309869
2015-03-23,74305,0
2015-03-24,74305,0
2015-03-25,74305,0
2015-03-26,74305,0
2015-03-27,72917,-0.018856436
2015-03-30,72917,0
2015-03-31,73611,0.009472663
2015-04-01,72917,-0.009472663
2015-04-02,73611,0.009472663
2015-04-03,72917,-0.009472663
2015-04-06,72222,-0.009577099
2015-04-07,73611,0.019049762
2015-04-08,73611,0
2015-04-09,73611,0
2015-04-10,75000,0.018693642
2015-04-13,76389,0.018350593
2015-04-14,76389,0
2015-04-15,75694,-0.00913981
2015-04-16,75000,-0.009210784
2015-04-17,75000,0
2015-04-20,75000,0
2015-04-21,75000,0
2015-04-22,75000,0
2015-04-23,75000,0
2015-04-24,75694,0.009210784
2015-04-27,75000,-0.009210784
2015-05-04,73611,-0.018693642
2015-05-05,73611,0
2015-05-06,73611,0
2015-05-07,73611,0
2015-05-08,73611,0
2015-05-11,73611,0
2015-05-12,72917,-0.009472663
2015-05-13,72917,0
2015-05-14,72917,0
2015-05-15,72917,0
2015-05-18,72917,0
2015-05-19,72917,0
2015-05-20,74305,0.018856436
2015-05-21,73611,-0.009383773
2015-05-22,74305,0.009383773
2015-05-25,73611,-0.009383773
2015-05-26,73611,0
2015-05-27,73611,0
2015-05-28,73611,0
2015-05-29,72917,-0.009472663
2015-06-01,73611,0.009472663
2015-06-02,73611,0
2015-06-03,73611,0
2015-06-04,74305,0.009383773
2015-06-05,74305,0
2015-06-08,75000,0.009309869
2015-06-09,74305,-0.009309869
2015-06-10,74305,0
2015-06-11,75000,0.009309869
2015-06-12,73611,-0.018693642
2015-06-15,73611,0
2015-06-16,72917,-0.009472663
2015-06-17,72917,0
2015-06-18,73611,0.009472663
2015-06-19,74305,0.009383773
2015-06-22,77778,0.045680371
2015-06-23,77083,-0.008975851
2015-06-24,75694,-0.018183866
2015-06-25,77083,0.018183866
2015-06-26,79167,0.026676782
2015-06-29,79167,0
2015-06-30,78472,-0.008817672
2015-07-01,79167,0.008817672
2015-07-02,79167,0
2015-07-03,79861,0.008728078
2015-07-06,80555,0.008652557
2015-07-07,81250,0.00859064
2015-07-08,79861,-0.017243198
2015-07-09,79861,0
2015-07-10,79861,0
2015-07-13,81250,0.017243198
2015-07-14,81944,0.008505266
2015-07-15,81944,0
2015-07-16,81250,-0.008505266
2015-07-17,81250,0
2015-07-20,80555,-0.00859064
2015-07-21,81250,0.00859064
2015-07-22,82639,0.016950903
2015-07-23,84722,0.024893584
2015-07-24,84722,0
2015-07-27,84722,0
2015-07-28,84028,-0.008225232
2015-07-29,84028,0
2015-07-30,82639,-0.016668353
2015-07-31,83333,0.008362905
2015-08-03,82639,-0.008362905
2015-08-04,81250,-0.016950903
2015-08-05,80000,-0.015504187
2015-08-06,80833,0.010358663
2015-08-07,83333,0.030459331
2015-08-10,89167,0.067666387
2015-08-11,87500,-0.018872223
2015-08-12,85833,-0.019235245
2015-08-13,87500,0.019235245
2015-08-14,87500,0
2015-08-17,85833,-0.019235245
2015-08-18,85833,0
2015-08-19,86667,0.009669641
2015-08-20,85000,-0.019421932
2015-08-21,84167,-0.009848336
2015-08-24,78750,-0.066524643
2015-08-25,80000,0.015748357
2015-08-26,83333,0.040817995
2015-08-27,82917,-0.005004522
2015-08-28,84167,0.014962813
2015-08-31,83333,-0.009958291
2015-09-01,82917,-0.005004522
2015-09-03,82500,-0.005041814
2015-09-04,82083,-0.005067363
2015-09-07,80833,-0.015345632
2015-09-08,80833,0
2015-09-09,81250,0.005145523
2015-09-10,82917,0.020309286
2015-09-11,82083,-0.010109177
2015-09-14,81250,-0.010200109
2015-09-15,81250,0
2015-09-16,81250,0
2015-09-17,81250,0
2015-09-18,82083,0.010200109
2015-09-21,82500,0.005067363
2015-09-22,85000,0.029852963
2015-09-23,84167,-0.009848336
2015-09-24,83333,-0.009958291
2015-09-25,84167,0.009958291
2015-09-28,85000,0.009848336
2015-09-29,83333,-0.019806627
2015-09-30,83333,0
2015-10-01,84167,0.009958291
2015-10-02,83333,-0.009958291
2015-10-05,85833,0.029558919
2015-10-06,85833,0
2015-10-07,85000,-0.009752291
2015-10-08,84167,-0.009848336
2015-10-09,84167,0
2015-10-12,84167,0
2015-10-13,85000,0.009848336
2015-10-14,88333,0.038462507
2015-10-15,87500,-0.00947497
2015-10-16,88333,0.00947497
2015-10-19,92500,0.046094881
2015-10-20,93333,0.008965099
2015-10-21,94167,0.008896059
2015-10-22,95000,0.00880709
2015-10-23,95833,0.008730202
